Ejercicio,Mes,Nombre del punto de distribución,Tipo de asentamiento ,Denominación del asentamiento,Nombre de la vialidad,Número de vialidad (en su caso),Tipo de abastecimiento,Días ,Horarios,Contacto,Capacidad de la unidad ,Geopoint,Nota
2023,Septiembre,Intersección Jupiter y Palmar,Colonia,Alianza,C. Júpiter,400,Pipa,"Lunes, martes, miercoles, jueves, viernes, sábado",7:00 a 22:30,Eduardo Ramos 8181111900,10000 litros,"25.775104507900362, -100.41910222883519",Instalación en coordinación con la Secretaría de Igualdad e Inclusión del Gobierno del Estado. Los días  y horarios de abastecimiento se determinan en base a cuando se vacían los tanques.
2023,Septiembre,Fomerrey 167,Colonia,1o. De junio,Garza Ayala,1908,Pipa,"Lunes, martes, miercoles, jueves, viernes, sábado",7:00 a 22:30,Eduardo Ramos 8181111900,10000 litros,"25.73989797430721, -100.33183655521992",Instalación en coordinación con la Secretaría de Igualdad e Inclusión del Gobierno del Estado. Los días  y horarios de abastecimiento se determinan en base a cuando se vacían los tanques.
2023,Septiembre,Intersección Amarinta y Quelonia,Colonia,Fomerrey 24,Amarinta,1826,Pipa,"Lunes, martes, miercoles, jueves, viernes, sábado",7:00 a 22:30,Eduardo Ramos 8181111900,10000 litros,"25.78715803865558, -100.37659595550807",Instalación en coordinación con la Secretaría de Igualdad e Inclusión del Gobierno del Estado. Los días  y horarios de abastecimiento se determinan en base a cuando se vacían los tanques.
2023,Septiembre,Terreno entre valle hermoso y valle alto,Colonia,San Angel Sur,Adolfo Lopez Mateos,SN,Pipa,"Lunes, martes, miercoles, jueves, viernes, sábado",7:00 a 22:30,Eduardo Ramos 8181111900,10000 litros,"25.62036510000415, -100.26669311745748",Instalación por parte de la Secretaría de Servicios Públicos. Los días  y horarios de abastecimiento se determinan en base a cuando se vacían los tanques.
2023,Septiembre,Parque Chimalpopoca,Colonia,Barrio del Parque,P. Chimalpopoca,135,Pipa,"Lunes, martes, miercoles, jueves, viernes, sábado",7:00 a 22:30,Eduardo Ramos 8181111900,10000 litros,"25.781472199991924, -100.3979287699337",Instalación por parte de la Secretaría de Servicios Públicos. Los días  y horarios de abastecimiento se determinan en base a cuando se vacían los tanques.
2023,Septiembre,Parque Residencial Mision Licoln 2,Colonia,Misión Lincoln,Jaguar,SN,Pipa,"Lunes, martes, miercoles, jueves, viernes, sábado",7:00 a 22:30,Eduardo Ramos 8181111900,10000 litros,"25.743642592216634, -100.3725987752161",Instalación por parte de la Secretaría de Servicios Públicos. Los días  y horarios de abastecimiento se determinan en base a cuando se vacían los tanques.
2023,Noviembre,Centro De Bienestar Familiar El Porvenir,Colonia,El Porvenir,Calle Didimas,Sin número,Contenedor,"Lunes, Martes, Miércoles, Jueves y Viernes",8:00 a.m. a 5:00 p.m.,81-51-02-73-91,1000 litros,"25.76727645211472, -100.36727521852794",1 Contenedor
2023,Noviembre,Centro De Bienestar Familiar Fomerrey 114,Colonia,Fomerrey 114,Calle Basamento,Sin número,Contenedor,"Lunes, Martes, Miércoles, Jueves y Viernes",8:00 a.m. a 5:00 p.m.,81-51-02-71-61,1000 litros,"25.766171535168326, -100.38001636316038",1 Contenedor
2023,Noviembre,Centro Para El Desarrollo Del Talento,Colonia,El Porvenir,Calle Didimas,Sin número,Contenedor,"Lunes, Martes, Miércoles, Jueves y Viernes",8:00 a.m. a 5:00 p.m.,81-51-02-73-92,1000 litros,"25.76727645211472, -100.36727521852794",1 Contenedor
2023,Noviembre,Centro De Bienestar Familiar Fomerrey 45,Colonia,Fomerrey 45,Calle Paseo de la Cima,Sin número,Contenedor,"Lunes, Martes, Miércoles, Jueves y Viernes",8:00 a.m. a 5:00 p.m.,81-51-02-73-85,1000 litros,"25.591861, -100.245479",1 Contenedor
2023,Noviembre,Defensoria Municipal Zona Centro,Colonia,Treviño,Calle Progreso,400,Contenedor,"Lunes, Martes, Miércoles, Jueves y Viernes",8:00 a.m. a 5:00 p.m.,81-51-02-72-82,1000 litros,"25.691325, -100.308678",1 Contenedor
2023,Noviembre,Estancia Infantil Laura Elena Arce Cavazos,Colonia,Fomerrey 114,Calle Basamento,Sin número,Contenedor,"Lunes, Martes, Miércoles, Jueves y Viernes",7:00 a.m. a 6:00 p.m.,81-51-02-71-60,1000 litros,"25.766171535168326, -100.38001636316038",1 Contenedor
2023,Noviembre,Ciudad Del Adulto Mayor,Colonia,Condesa,Avenida Camino al Diente,Sin número,Contenedor,"Lunes, Martes, Miércoles, Jueves y Viernes",8:00 a.m. a 5:00 p.m.,81-51-02-74-72,1000 litros,"25.617715, -100.270741",1 Contenedor
2023,Noviembre,Casa Club Del Adulto Mayor Lomas Modelo,Colonia,Lomas Modelo,Calle Tenayuca,Sin número,Contenedor,"Lunes, Martes, Miércoles, Jueves y Viernes",8:00 a.m. a 5:00 p.m.,81-51-02-72-56,1000 litros,"25.74040251877856, -100.36133756827368",1 Contenedor
2023,Noviembre,Oficinas Generales,Colonia,Loma Larga,Loma Redonda,Sin número,Contenedor,"Lunes, Martes, Miércoles, Jueves y Viernes",8:00 a.m. a 5:00 p.m.,81-51-02-86-00,1000 litros,"25.66545928190965, -100.33952533192732",5 Contenedores
2023,Noviembre,Centro De Bienestar Familiar Colonia Heriberto Jara,Colonia,Independencia,Baja California,Sin número,Contenedor,"Lunes, Martes, Miércoles, Jueves y Viernes",8:00 a.m. a 5:00 p.m.,81-17-83-90-90,1000 litros,"25.6536853, -100.3091658",1 Contenedor
2023,Noviembre,Ludoteca Infantil Burócratas Municipales,Colonia,Burócratas Municipales.,Ave. Alfonso Reyes y 18 de Marzo,Sin número,Contenedor,"Lunes, Martes, Miércoles, Jueves y Viernes",8:00 a.m. a 5:00 p.m.,82-81-21-09-27,1000 litros,"25.704949251959427, -100.35631547871262",1 Contenedor
2023,Noviembre,Las Caleras,Colonia,Catujanes,Las Caleras,91-170,Pipa,"Lunes, martes, miercoles, jueves, viernes, sábado",7:00 a 22:30,Eduardo Ramos 8181111900,10000 litros,"25.570125634090367, -100.23184488267727",Instalación en coordinación con la Secretaría de Igualdad e Inclusión del Gobierno del Estado. Los días  y horarios de abastecimiento se determinan en base a cuando se vacían los tanques.
2023,Noviembre,Plaza Rincón Del Valle,Colonia,Sierra Alta,Av Sierra Alta,SN,Pipa,"Lunes, martes, miercoles, jueves, viernes, sábado",7:00 a 22:30,Eduardo Ramos 8181111900,10000 litros,"25.57659658374205, -100.26378852883519",Instalación en coordinación con la Secretaría de Igualdad e Inclusión del Gobierno del Estado. Los días  y horarios de abastecimiento se determinan en base a cuando se vacían los tanques.
2023,Noviembre,Parque Río Roma,Colonia,Roma,Vesubio,167-S CASETA SPE,Pipa,"Lunes, martes, miercoles, jueves, viernes, sábado",7:00 a 22:30,Eduardo Ramos 8181111900,10000 litros,"25.65170769286256, -100.29507705767038",Instalación en coordinación con la Secretaría de Igualdad e Inclusión del Gobierno del Estado. Los días  y horarios de abastecimiento se determinan en base a cuando se vacían los tanques.
2023,Noviembre,Intersección Calle Mauricio Y Madagascar,Colonia,Laderas del Mirador,Mauricio y Madagascar,SN,Pipa,"Lunes, martes, miercoles, jueves, viernes, sábado",7:00 a 22:30,Eduardo Ramos 8181111900,10000 litros,"25.629825440526343, -100.30634904476311",Instalación en coordinación con la Secretaría de Igualdad e Inclusión del Gobierno del Estado. Los días  y horarios de abastecimiento se determinan en base a cuando se vacían los tanques.
